instruction,answer,text,entity1,entity2,label
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：[其他药物]-Concomitant intake of <e1_current>colestipol</e1_current> and <e2_current>vitamin K</e2_current> may reduce the absorption of <e2_current>vitamin K</e2_current>.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：mechanism
判断依据：<e1_current>为colestipol</e1_current>，<e2_current>为vitamin K</e2_current>；文本中与二者相关的描述为""[其他药物]-Concomitant intake of <e1_current>colestipol</e1_current> and <e2_current>vitamin K</e2_curre...""，符合mechanism类型的定义。",[其他药物]-Concomitant intake of <e1_current>colestipol</e1_current> and <e2_current>vitamin K</e2_current> may reduce the absorption of <e2_current>vitamin K</e2_current>.,colestipol,vitamin K,mechanism
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：However, co  administration of <e1_current><e2_current>fexofenadine</e2_current> hydrochloride</e1_current> with either [其他药物] or erythromycin led to increased plasma concentrations of <e2_current>fexofenadine</e2_current>.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为fexofenadine hydrochloride</e1_current>，<e2_current>为fexofenadine</e2_current>；文本中与二者相关的描述为""However, co  administration of <e1_current><e2_current>fexofenadine</e2_current> hydrochloride</e1_c...""，符合false类型的定义。","However, co  administration of <e1_current><e2_current>fexofenadine</e2_current> hydrochloride</e1_current> with either [其他药物] or erythromycin led to increased plasma concentrations of <e2_current>fexofenadine</e2_current>.",fexofenadine hydrochloride,fexofenadine,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：[其他药物], as with other <e1_current>beta2-agonists</e1_current>, should be administered with extreme caution to patients being treated with <e2_current>monoamine oxidase inhibitors</e2_current>, tricyclic antidepressants, or drugs known to prolong the QTc interval because the action of adrenergic agonists on the cardiovascular system may be potentiated by these agents.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：advise
判断依据：<e1_current>为beta2-agonists</e1_current>，<e2_current>为monoamine oxidase inhibitors</e2_current>；文本中与二者相关的描述为""[其他药物], as with other <e1_current>beta2-agonists</e1_current>, should be administered with extreme c...""，符合advise类型的定义。","[其他药物], as with other <e1_current>beta2-agonists</e1_current>, should be administered with extreme caution to patients being treated with <e2_current>monoamine oxidase inhibitors</e2_current>, tricyclic antidepressants, or drugs known to prolong the QTc interval because the action of adrenergic agonists on the cardiovascular system may be potentiated by these agents.",beta2-agonists,monoamine oxidase inhibitors,advise
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：<e1>INDOCIN</e1> and <e2>potassium-sparing diuretics</e2> each may be associated with increased serum potassium levels.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为INDOCIN</e1_current>，<e2_current>为potassium-sparing diuretics</e2_current>；文本中与二者相关的描述为""<e1>INDOCIN</e1> and <e2>potassium-sparing diuretics</e2> each may be associated with increased seru...""，符合false类型的定义。",<e1>INDOCIN</e1> and <e2>potassium-sparing diuretics</e2> each may be associated with increased serum potassium levels.,INDOCIN,potassium-sparing diuretics,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：In in vivo studies, 10- to 30-mg/day doses of <e1_current>aripiprazole</e1_current> had no significant effect on metabolism by CYP2D6 ([其他药物]), CYP2C9 (<e2_current>warfarin</e2_current>), CYP2C19 (omeprazole, <e2_current>warfarin</e2_current>), and CYP3A4 ([其他药物]) substrates.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为aripiprazole</e1_current>，<e2_current>为warfarin</e2_current>；文本中与二者相关的描述为""In in vivo studies, 10- to 30-mg/day doses of <e1_current>aripiprazole</e1_current> had no significa...""，符合false类型的定义。","In in vivo studies, 10- to 30-mg/day doses of <e1_current>aripiprazole</e1_current> had no significant effect on metabolism by CYP2D6 ([其他药物]), CYP2C9 (<e2_current>warfarin</e2_current>), CYP2C19 (omeprazole, <e2_current>warfarin</e2_current>), and CYP3A4 ([其他药物]) substrates.",aripiprazole,warfarin,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：If concomitant treatment with <e1_current>sumatriptan</e1_current> and an [其他药物] (e.g., fluoxetine, <e2_current>fluvoxamine</e2_current>, paroxetine, sertraline, citalopram, escitalopram) is clinically warranted, appropriate observation of the patient is advised.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：advise
判断依据：<e1_current>为5-HT1 agonists</e1_current>，<e2_current>为fluoxetine</e2_current>；文本中与二者相关的描述为""If concomitant treatment with <e1_current>sumatriptan</e1_current> and an [其他药物] (e.g., fluoxetine, ...""，符合advise类型的定义。","If concomitant treatment with <e1_current>sumatriptan</e1_current> and an [其他药物] (e.g., fluoxetine, <e2_current>fluvoxamine</e2_current>, paroxetine, sertraline, citalopram, escitalopram) is clinically warranted, appropriate observation of the patient is advised.",5-HT1 agonists,fluoxetine,advise
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：Pharmacokinetic interaction between single oral doses of <e1>diltiazem</e1> and <e2>sirolimus</e2> in healthy volunteers.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：mechanism
判断依据：<e1_current>为diltiazem</e1_current>，<e2_current>为sirolimus</e2_current>；文本中与二者相关的描述为""Pharmacokinetic interaction between single oral doses of <e1>diltiazem</e1> and <e2>sirolimus</e2> i...""，符合mechanism类型的定义。",Pharmacokinetic interaction between single oral doses of <e1>diltiazem</e1> and <e2>sirolimus</e2> in healthy volunteers.,diltiazem,sirolimus,mechanism
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：<e1_current>Carbamazepine</e1_current>: [其他药物]  causes a decrease in the steady-state <e2_current>carbamazepine</e2_current> plasma concentrations and an increase in the steady-state <e2_current>carbamazepine</e2_current> epoxide plasma concentration.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为Carbamazepine</e1_current>，<e2_current>为carbamazepine</e2_current>；文本中与二者相关的描述为""<e1_current>Carbamazepine</e1_current>: [其他药物]  causes a decrease in the steady-state <e2_current>ca...""，符合false类型的定义。",<e1_current>Carbamazepine</e1_current>: [其他药物]  causes a decrease in the steady-state <e2_current>carbamazepine</e2_current> plasma concentrations and an increase in the steady-state <e2_current>carbamazepine</e2_current> epoxide plasma concentration.,Carbamazepine,carbamazepine,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：<e1_current>Nonsteroidal Anti-Inflammatory Drugs</e1_current> (<e2_current>NSAIDs</e2_current>)-A drug interaction study of eplerenone with an NSAID has not been conducted.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为Nonsteroidal Anti-Inflammatory Drugs</e1_current>，<e2_current>为NSAIDs</e2_current>；文本中与二者相关的描述为""<e1_current>Nonsteroidal Anti-Inflammatory Drugs</e1_current> (<e2_current>NSAIDs</e2_current>)-A dr...""，符合false类型的定义。",<e1_current>Nonsteroidal Anti-Inflammatory Drugs</e1_current> (<e2_current>NSAIDs</e2_current>)-A drug interaction study of eplerenone with an NSAID has not been conducted.,Nonsteroidal Anti-Inflammatory Drugs,NSAIDs,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：<e1>Rifampin</e1> and <e2>warfarin</e2>: a drug interaction.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：int
判断依据：<e1_current>为Rifampin</e1_current>，<e2_current>为warfarin</e2_current>；文本中与二者相关的描述为""<e1>Rifampin</e1> and <e2>warfarin</e2>: a drug interaction.""，符合int类型的定义。",<e1>Rifampin</e1> and <e2>warfarin</e2>: a drug interaction.,Rifampin,warfarin,int
